KEY,en,cs,zh_Hant,ru,de,pl,sv,bg,tl,ro,pt,fr,es,es_AR,nb,it,da,es_MX,tr,ja,fi,vi,cmn
Master Volume,Master Volume,Hlavní Hlasitost,整體音量,Общая громкость,Gesamt Lautstärle,Głośność główna,Huvudvolym,Главна сила на звука,Lakas ng tunog,Volum principal,Volume geral,Volume Général,Volumen maestro,Volumen maestro,Hovedvolum,,Master lydstyrke,Volumen principal,Genel Ses,,Äänen voimakkuuden säädin,Âm lượng tổng,
SFX Volume,SFX Volume,Hlasitost Efektů,音效音量,Громкость эффектов,SFX Lautstärke,Głośność efektów,SFX Volym,Сила на звуковите ефекти,Lakas ng SFX,Volum efecte speciale,Volume dos SFX,Volume Effets,volumen de efectos de sonido,Volumen de los efectos,SFX-volum,,SFX lydstyrke,volumen de los efectos de sonido,SFX Sesi,,SFX volyymi,Âm lượng hiệu ứng,
Music Volume,Music Volume,Hlasitost Hudby,音樂音量,Громкость музыки,Musik Lautstärke,Głośność muzyki,Musik Volym,Сила на музиката,Lakas ng Musika,Volum muzică,Volume da música,Volume Musique,Volumen de la musica,Volumen de la musica,Musikkvolum,,Musik lydstyrke,Volumen de la música,Müzik Sesi,,Musiikin volyymi,Âm lượng nhạc,
UI Volume,UI Volume,Hlasitost UI,介面音量,Громкость UI,UI Lautstärke,Głośność interfejsu,UI volym,Сила на UI звука ,Lakas ng UI,Volum UI,Volume da IU,Volume Interface,volumen del Hud,Volumen del HUD,UI-volum,,UI lydstyke,Volumen del HUD,UI sesi,,UI:n volyymi,Âm lượng giao diện,
Mute On Focus Lost,Mute On Focus Lost,Ztlumit Při Ztrátě Zaměření,切換視窗時自動靜音,Заглушить при переходе на другое окно,Ohne Fokus stummschalten ,"Wycisz, gdy okno jest nieaktywne",Tysta när ofokuserad,Изключване на звука при загуба на фокус,Mute Kapag Nawalang Focus,,Silenciar ao perder o foco,Muet hors de la fenêtre,,,Demp når uten fokus,,,Silenciar en segundo plano,Arka Plandayken Sustur,,Äänien mykistys kun peli ei ole keskitetty,Tắt tiếng khi chuyển cửa sổ,
Customers,Customers,Zákazníci,顧客,Посетители,Kunden,Klienci,Kunder,Клиенти,Mamimili,Clienți,Clientes,Clients,Clientes,Clientes,Kunder,,Kunder,Clientes,Müşteriler,,Asiakkaat,Khách hàng,
Cash per {customer},Cash per {customer},Výdělek za {customer},單一顧客收益{customer},Деньги за {customer},Geld pro {customer},Zarobki na {customer},Pengar per {customer},Пари в брой на {customer},Pera bawat isang {customer},Bani per {customer},Dinheiro por {costumer},Argent par {customer},Dinero por {customer},Dinero por {customer},Penger per {customer},,Penge per {customer},Dinero por {customer},{customer} Başına Para,,Rahaa per {customer},Tiền trên mỗi {customer},
Cash $/min,Cash $/min,Výdělek $/min,金錢收益 $/分鐘,Деньги $/мин,Geld $/min,Zarobki $/min,Pengar $/min,Пари в брой $/мин,Pera $/minuto,Bani $/minut,Dinheiro §/min,Argent $/min,Efectivo $/min,Efectivo $/min,Penger $/min,,Penge $/min,Dinero $/min,Para $/dk,,Rahaa $/min,Tiền $/phút,
Research {research_icon}/min,Research {research_icon}/min,Výzkum {research_icon}/min,研究點數{research_icon}/分鐘,Очки исследования {research_icon}/мин,Forschung {research_icon}/min,Badania {research_icon}/min,Forskning {research_icon}/min,Изследване {research_icon}/мин,Saliksik {research_icon}/min,Cercetare {research_icon}/min,Pesquisa {research_icon}/min,Recherche {research_icon}/min,Investigación {research_icon}/min,Investigación {research_icon}/min,Forskning {research_icon}/min,,Forskning {research_icon}/min,Investigación {research_icon}/min,Araştırma {research_icon}/dk,,Tutkimustietoa {research_icon}/min,Nghiên cứu {research_icon}/phút,
Inventory,Inventory,Inventář,道具欄,Инвентарь,Inventar,Ekwipunek,Förråd,Инвентар,Imbentaryo,Inventar,Inventário,Inventaire,Inventario,Inventario,Inventar,,Inventar,Inventario,Envanter,,Inventaario,Túi đồ,
Shop,Shop,Obchod,商店,Магазин,Shop,Sklep,Affär,Магазин,Palengke,Magazin,Loja,Boutique,Comercio,Tienda,Butikk,,Butik,Tienda,Dükkan,,Kauppa,Cửa hàng,
Research,Research,Výzkum,研究,Исследование,Forschung,Badania,Forskning,Изследване,Saliksik  ,Cercetare,Pesquisa,Recherche,Investigación,Investigación,Forskning,,Forskning,Investigación,Araştırma,,Tutkimustieto,Nghiên cứu,
Ascension,Ascension,Povznesení,翻新,Восхождение,Reset,Prestiż,Återfödelse,Възнесение,Pagtaas,Ascensiune,Ascensão,Ascension ,Ascenso,Ascenso,Arv,,Genfødsel,Ascender,Prestij,,Tason nousu,Thăng tiến,
Travel,Travel,Cestování,旅行,Путешествие,Reisen,Podróż,Åka,Пътуване,Bumiyahe,Explorare,Viajem,Voyage,viajar,Viajar,Reise,,Rejse,Viajar,Seyahat,,Matkustaminen,Du lịch,
Travel {cost},Travel {cost},Cestovat {cost},前往{cost},Отправиться {cost},Reisekosten {cost},Podróż {cost},Res {cost},Пътуване {cost},Bumiyahe {cost},Explorare {cost},Viajem {cost},Voyage {cost},viajar {cost},viajar {cost},Reis {cost},,Rejse {cost},Viajar {cost},Seyahat {cost},,Matkustaminen {kustannus},Di chuyển {cost},
Move to Tank,Move to Tank,Přesunout do akvária,放入水槽,Переместить в аквариум,Ins Becken verschieben,Przejdź do zbiornika,Förflytta till akvarium,Преместване в резервоара,Ilipat sa Tangke,Mută în acvariu,Mover para o aquário,Déplacer vers le réservoir,Mover al tanque,Mover al tanque,Flytt til tank,,Flyt til vandbeholder,Mover al aquario,Tankere Taşı,,Siirrä akvaarioon,Chuyển vào Bể,
Sell {quantity} {profit},Sell {quantity} {profit},Prodat {quantity} {profit},售出{quantity} {profit},Продать {quantity} {profit},Verkauf {quantity} {profit},Sprzedaj {quantity} {profit},Sälj {quantity} {profit},Продай {quantity} {profit},Magbenta {quantity} {profit},Vinde {quantity} {profit},Vender {quantity} {profit},Vendre {quantity} {profit},Vender {quantity} {profit},Vender {quantity} {profit},Selg {quantity} {profit},,Sælg {quantity} {profit},Vender {quantity} {profit},Sat {quantity} {profit},,Myy {quantity} {profit} ,Bán {quantity} {profit},
Value {amount},Value {amount},Hodnota {amount},價值{amount},Цена {amount},Wert {amount},Wartość {amonut},Värde {amount},Стойност {amount},Halaga {amount},Valoare {amount},Valor {amount},Valeur {amount},valor {amount},valor {amount},Verdi {amount},,Værdi  {amount},Valor {amount},Değer {amount},,Arvo {amount} ,Giá trị {amount},
Passive {amount}/min,Passive {amount}/min,Pasivní {amount}/min,被動{amount},Пассивно {amount},Passive {ammount},Dochód pasywny {amount}/min,Passiv inkomst {amount},Пасивно {amount},Pasibo {amount}/min,Pasiv {amount},Rendimento passivo {amount}/min,Passif {amount}/min,Pasivo {amount}/min,Pasivo {amount}/min,Passiv innkent {amount}/min,,Passiv indkomst {amount}/min,Pasivo {amount}/min,Pasif {amount}/dk,,Passiivinen {amount}/min,Thụ động {amount}/phút,
Weight {amount},Weight {amount},Váha {amount},重量{amount},Вес {amount},Gewicht {amount},Waga {amount},Vikt {amount},Тегло {amount},Bigat {amount},Greutate {amount},Peso {amount},Poids {amount},Peso {amount},Peso {amount},Vekt {amount},,Vægt {amount},Peso {amount},Ağırlık {amount},,Paino {amount} ,Trọng lượng {amount},
Freshwater,Freshwater,Sladká Voda,淡水,Пресная вода,Süßwasser,Słodkowodny,Sötvatten,Сладководна,Tubig-tabang,Apă dulce,Água doce,Eau Douce,Agua dulce,Agua dulce,Ferskvann,,Ferskvand,Agua dulce,Taze Su,,Makea vesi,Nước ngọt,
Saltwater,Saltwater,Slaná Voda,鹹水,Солёная вода,Salzwasser,Słonowodny,Saltvatten,Морска,Tubig-alat,Apă sărată,Água salgada,Eau Salée,Agua salada,Agua salada,Saltvann,,Saltvand,Agua salada,Tuzlu Su,,Merivesi,Nước mặn,
Pond,Pond,Rybník,池塘,Пруд,Teich,Staw,Dammen,Езерце,Munting Dagatan,Baltă,Lagoa,Étang,Estanque,Estanque,Dam,,Dam,Charco,Gölet,,Lampi,Ao,
Lake,Lake,Jezero,湖泊,Озеро,See,Jezioro,Sjön,Езеро,Dagatan,Lac,Lago,Lac,Lago,Lago,Innsjø,,Sø,Lago,Göl,,Järvi,Hồ,
River,River,Řeka,河流,Река,Fluss,Rzeka,Floden,Река,Ilog,Râu,Rio,Rivière,Río,Río,Elv,,Flod,Río,Nehir,,Joki,Sông,
Ocean,Ocean,Oceán,海洋,Океан,Ozean,Ocean,Havet,Океан,Dagat,Ocean,Oceano,Océan,oceano,Océano,Hav,,Hav,Oceano,Okyanus,,Meri,Đại dương,
Escape Menu,Escape Menu,Menu Pozastavení,暫停選單,Меню,Verwaltungs Menu,Menu wyjścia,Pausmeny,Изход меню,Alis sa Menu,Meniu escape,Sair para o menu,Retour au Menu,Volver a menu,Volver al Menú,Gå ut av meny,,Slut menu,Volver al menú,Duraklat Menüsü,,Taukovalikko,Menu thoát,
Return,Return,Vrátit,返回,Вернуться,Zurück,Wróć,Gå tillbacka,Връщане,Ibalik,Intoarce-te,Voltar,Revenir,Volver ,Volver,Gå tilbake,,Gå tilbage,Volver,Geri Dön,,Palaa,Quay lại,
Main Menu,Main Menu,Hlavní Menu,主選單,Главное меню,Hauptmenü,Menu Główne,Huvudmeny,Главно меню,Main Menu,Meniu principal,Menu principal,Menu principal,Menú principal,Menú principal,Hovedmeny,,Hovedmenu,Menú principal,Ana Menü,,Päävalikko,Menu chính,
Quit to Desktop,Quit to Desktop,Ukončit na Plochu,退出遊戲,Выйти на рабочий стол,Zurück zum Desktop,Wyjdź z gry,Avsluta till skrivbord,Изход към работния плот,Punta sa Desktop,Ieși către Desktop,Sair para o ambiente de trabalho,Quitter vers Bureau,salir al escritorio,Salir al escritorio,Avslutt til skrivebord,,Afslut til skrivebord,Salir al escritorio,Masaüstüne Çık,,Sulje työpöydälle ,Thoát ra màn hình,
Edit,Edit,Upravit,編輯,Редактировать,Bearbeiten,Edytuj,Redigera,Редактиране,I-Edit,Editează,Editar,Modifier,Editar,Editar,Rediger,,Rediger,Editar,Düzenle,,Muokkaa,Chỉnh sửa,
Scale,Scale,Škála,縮放,Размер,Größe,Skala,Skala,Мащабиране,Laki,Redimensionare,Redimensionar,Redimensioner,Escala,Escala,Sakaler,,Skalering,Escala,Boyutlandır,,Skaala,Tỷ lệ,
Rotation,Rotation,Rotace,旋轉,Поворот,Rotation,Rotacja,Rotation,Въртене,Ikot,Rotire,Rodar,Tourner,Rotación,Rotación,Rotasjon,,Rotation,Rotación,Döndür,,Rotaatio,Xoay,
Flip,Flip,Otočit,翻轉,Развернуть,Umdrehen,Obróć,Vänd,Обръщане,Pitikin,Intoarcere,Virar,Retourner,voltear,Voltear,Vend,,Vend,Voltear,Çevir,,Käännä,Lật,
Delete,Delete,Smazat,刪除,Удалить,Entfernen,Usuń,Ta bort,Изтриване,Burahin,Șterge,Apagar,Supprimer,Borrar,Borrar,Slett,,Slet,Borrar,Sil,,Poista,Xoá,
Offline Income,Offline Income,Offline Příjem,離線收益,Доход вне игры,Offline Einkommen,Przychód offline,Offlineinkomst,Доход от офлайн,Kita kapag Offline,Venit offline,Rendimento offline,Rendement Hors Ligne,ingresos desconectado,Ingresos fuera de línea,Inntekt når spiller er avsluttet,,Offline indkomst,Ingresos fuera de línea,Çevrimdışı Gelir,,Offline-tilan tulot,Thu nhập ngoại tuyến,
Max Offline Time,Max Offline Time,Maximální Čas Offline,最大離線收益時間,Макс. время вне игры,Maximale offline Zeit,Maksymalny czas offline,Maximal offlinetid,Максимално време офлайн,Pinakamax ng Oras Offline,Timp Maxim Offline,Tempo máximo offline,Temps Maximum Hors-Ligne,maximo tiempo desconectado,Máximo tiempo fuera de línea,Makstid når spillet er avsluttet,,,Máximo tiempo fuera de línea,En Fazla Çevrimdışı Süre,,Offline-ajan yläraja,Thời gian ngoại tuyến tối đa,
Offline Efficiency,Offline Efficiency,Offline Efektivnost,離線收益效率,Офлайн эффективность,Offline effizienz,Efektywność offline,Offlineeffektivitet,Ефективност офлайн,Kasanayan Offline,Eficiență Offline,Eficiência offline,Efficacité Hors-Ligne,eficiencia desconectado,Eficiencia fuera de línea,Effektivitet når spillet er avsluttet,,,Eficiencia fuera de línea,Çevrimdışı Verimlilik,,Offline-tilan tehokkuus,Hiệu suất ngoại tuyến,
Cash Income Bonus,Cash Income Bonus,Bonus z Peněžního Příjmu,金錢收益加成,Бонус к доходу,Geld Bonus Einkommen,Bonus do zdobytych pieniędzy,Inkomstsbonus,Бонус от доход на пари,Bonus sa Kita,Bonus de venit,Rendimento,Rendement Bonus,bono de ingreso de dinero,Bono de ingreso de dinero,Innketsbonus,,Indtægtsbonus,Bono de ingreso de dinero,Para Gelir Bonusu,,Lisäpalkka,Thưởng thu nhập tiền mặt,
Next Point,Next Point,Další Bod,下一個點數,Следующая цель,Nächster Punkt,Następny bonus,Nästa Poäng,Следваща точка,Susunod na Punto,Următorul punct,Próximo Ponto,Prochain Point,siguiente punto,Próximo Punto,Neste poeng,,,Próximo punto,,,Seuraava tavoite,Điểm tiếp theo,
{quantity} ready to redeem,{quantity} ready to redeem,{quantity} připraveno k vyzvednutí,有{quantity} 可以使用,{quantity} готово к покупке,{quantity} bereit zum einsammeln,{quantity} gotowa do odebrania,{quantity} redo att lösa ut,{quantity} готов за осребряване,{quantity} pwedeng tubos,{quantity} gata de colectare,{quantity} prontos a resgatar,{quantity} Prêts à Réclamer,{quantity} lista para reclamar!,{quantity} lista para reclamar!,{quantity} nødvendig for å løse inn,,{quantity} klar til indløsning,{quantity} listo para reclamar,kullanılmaya hazır {quantity},,{quantity} valmiina lunastettavaksi,Sẵn sàng quy đổi {quantity},
Multiplier is applied to cash earned,Multiplier is applied to cash earned,Na získaný peněžní příjem se uplatňuje multiplikátor,倍率已應用於獲得的金錢,Множитель применён к заработанным деньгам,Multiplikator wird auf das Einkommen angewendet ,Mnożnik jest nakładany na zdobyte pieniądze,Multiplikationen är tillagd på antalet pengar tjänade,Множител се прилага към спечелените пари,,Multiplicatorul este aplicat banilor primiți,Multiplicador está aplicado ao dinheiro ganho,Multiplicateur est appliquée à l'argent obtenu,el multiplicador es aplicado al dinero ganado,El multiplicador es aplicado al dinero ganado,Multiplikasjon er lagt til tjente penger,,Multiplikator er tilføjet til penge tjent,El multiplicador es aplicado al dinero ganado,Katsayı kazanılan paraya işler,,Kertoja on lisätty tienattuun rahaan,Hệ số nhân được áp dụng cho tiền kiếm được,
Aquarium,Aquarium,Akvárium,水族館,Аквариум,Aquarium,Akwarium,Akvarium,Аквариум,,Acvariu,Aquário,Aquarium,Acuario,Acuario,Akvarium,,Akvarium,Acuario,Akvaryum,,Akvaario,Bể cá,
Marketing,Marketing,Marketing,推銷,Маркетинг,Marketing,Marketing,Marknadsföring,Маркетинг,,Marketing,Marketing,Marketing,,Marketing,Markedsføring,,Markedsføring,Marketing,Pazarlama,,Markkinointi,Tiếp thị,
Equipment,Equipment,Vybavení,裝備,Снасти,Ausrüstung,Ekwipunek,Utrustning,Оборудване,,Echipament,Equipamento,Equipement,,Equipamiento,Utstyr,,Udstyr,Equipamiento,Ekipman,,Tarvikkeet,Trang bị,
Decorations,Decorations,Dekorace,裝飾品,Декорации,Dekoration,Dekoracje,Dekorationer,Декорации,,Decorațiuni,Decoração,Décorations,,Decoraciones,Dekorasjoner,,Dekorationer,Decoraciones,Dekorasyonlar,,Koristeet,Đồ trang trí,
New Tank,New Tank,Nové akvárium,新水槽,Новый аквариум,Neues Becken,Nowy Zbiornik,Nytt akvarium ,Нов аквариум,,Tanc nou,Novo aquário,Nouveau Réservoir,Nuevo acuario,Tanque nuevo,Ny tank,,Nyt akvarie,Nuevo tanque,Yeni Tanker,,Uusi akvaario,Bể mới,
Researcher,Researcher,Výzkumník,研究員,Исследователь,Forschender,Badacz,Forskare,Изследовател,,Cercetător,Pesquisador,Chercheur,,Investigador,Forsker,,Forsker,Investigador,Araştırmacı,,Tutkija,Nhà nghiên cứu,
Tip Jar,Tip Jar,Sklenice Na Spropitné,小費罐,Банка чаевых,Trinkgeldglas,Słoik na napiwki,Dricksburk,Бурка за бакшиш,,Bacșiș,Frasco das gorjetas,Pot à Pourboire,,Jarra de propinas,Tipskrukke,,Drikkepengeglas,Bote de propinas,Bahşiş Kavanozu,,Tippipurkki,Hũ tiền boa,
Advertising,Advertising,Reklama,廣告宣傳,Реклама,Werbung,Reklama,Annonsering,Реклама,,Reclamă,Publicidade,Publicité,Publicidad,Publicidad,Annonsering,,Annoncering,Publicidad,Reklamcılık,,Mainostaminen,Quảng cáo,
Merchandise,Merchandise,Reklamní Zboží,週邊商品,Сувениры,Merch,Merch,Merch,Сувенири,,Merch,Merchandising,Marchandise,,Mercadería,Varer,,Merchandise,Mercancía,Ürün,,Fanituotteet,Hàng hoá,
Improved Bait,Improved Bait,Vylepšená Návnada,改良魚餌,Увеличение поклёвки,Verbesserter Köder,Ulepszona przynęta,Förbättrat fiskbete,Подобрена стръв,,Momeală mai bună,Isca melhorada,Appât Amélioré,Cebo mejorado,Carnada mejorada,Forbedret agn,,Forbedret madding,Carnada Mejorada,Gelişmiş Yem,,Parannettu syötti,Mồi câi cải tiến,
Larger Keepnet,Larger Keepnet,Větší Síť Na Ryby,大容量魚網,Увеличенный садок,Großer Kescher,Siatka wędkarska,Större nätkasse,По-голяма мрежа за съхранение,,,Rede maior,Filet Agrandi,Rejón más grande,Bolsa de red más grande,Større nett,,Større opbevaringsnet,Canasta de pesca más grande,Geniş Balıkağı,,Suurempi kalasumppu,Lưới giữ cá lớn hơn,
Cobweb,Cobweb,Pavučina,蜘蛛網,Паутина,Spinnenweben,Pajęczyna,Spindelnät,Паяжина,,Panză de păianjen,Teia de aranha,Toile d'araignée,Telaraña,Telaraña,Spindelvev,,Spindelvæv,Telaraña,,,Hämähäkinseitti,Mạng nhện,
Trash Bags,Trash Bags,Pytle s odpadky,垃圾袋,Мусорные мешки,Abfall,Worki na śmieci,Soppåsar,Чували за боклук,,Saci de gunoi,Sacos do lixo,Sacs poubelle,,Bolsas de basura,Søppelposer,,Skraldeposer,Bolsas de basura,Çöp Poşetleri,,Roskapussit,Túi rác,
Crate,Crate,Krabice,木箱,Ящик,Kiste,Skrzynia,Låda,Щайга,,,Caixa,Caisse,,Caja,Kasse,,Kasse,Caja,Kasa,,Laatikko,Thùng gỗ,
Bench,Bench,Lavička,長椅,Лавка,Sitzbank,Ławka,Bänk,Пейка,,Bancă,Banco,Banc,Banco,Banco,Benk,,Bænk,Banca,Bank,,Penkki,Ghế dài,
Monstera Plant,Monstera Plant,Monstera,魔斯特芋,Монстера,Monstera Pflanze,Monstera,Monstera,Растение Монстера,Monstera,Monstera,Costela-de-adão,Monstera,Planta Monstera,Planta Monstera,Monsteraplante,,Monsteraplante,Planta Monstera,Deve Tabanı,,Peikonlehti,Cây trầu bà,
Snake Plant,Snake Plant,Hadí Rostlina,蛇尾蘭,Змеиное растение (Сансевиерия),Schlangen Pflanze,Sansewiera,Svärmors tunga,Змийско растение,Buntot Tigre,Sansevieria,Espada-de-são-jorge,Sansevière,Lengua de suegra,Lengua de suegra,Svigermorstunge,,Svigermors skarpe tunge,Lengua de suegra,Paşa Kılıcı,,Isoanopinkieli,Cây lưỡi hổ,
Lamp,Lamp,Lampa,燈,Лампа,Lampe,Lampa,Lampa,Лампа,Ilawan,Lampă,Lâmpada,Lampe,Lámpara,Lámpara,Lampe,,Lampe,Lámpara,Lamba,,Lamppu,Đèn,
Trash Can,Trash Can,Odpadkový Koš,垃圾桶,Мусорное ведро,Mülleimer,Kosz na śmieci,Soptunna,Коша за боклук,Basurahan,Gunoi,Caixote do lixo,Poubelle,Papelera,Bote de basura,Søppelbøtte,,Skraldespand,Papelera,Çöp Kutusu,,Roskakori,Thùng rác,
Starfish Home,Starfish Home,Dům Hvězdice,海星的家,Домик морской звезды,Seestern Haus,Dom rozgwiazdy,"Sjöstjärnshem
",Дом за морска звезда,Bahay ng Starfish,Căsuță pentru stea de mare,Casa Estrela-do-mar,Maison Étoile De Mer,,,Sjøstjernehjem,,Søstjernehjem,Casa de estrella de mar,Deniz Yıldızı Evi,,Meritähti koti,Nhà sao biển,
Buy {price},Buy {price},Koupit {price},購買{price},Купить {price},Kaufen {price},Kup {price},Köp {price},Купи {price},Bilhin {price},Cumpară {price},Comprar {price},Acheter {price},,Comprar {price},Kjøp {price},,Køb {pris},Comprar {price},Satın al {price},,Osta {hinta} ,Mua {price},
Capacity {amount},Capacity {amount},Kapacita {amount},容量{amount},Вместительность {amount},Kpazität {amount},Pojemność {amount},Kapacitet {amount},Капацитет {price},Kapasidad {amount},Capacitate {amount},Capacidade {price},Capacité {prix},,Capacidad {amount},Kapasitet på {amount},,Kapacitet {amount},Capacidad {amount},Kapasite {amount},,Tilavuus {määrä} ,Sức chứa {amount},
Fish,Fish,Ryba,魚,Рыба,Fisch,Ryba,Fisk,Риба,Isda,Pește,Peixe,Poisson,,Pez,Fisk,,Fisk,Pez,Balık,,Kala,Cá,
Upgrades,Upgrades,Vylepšení,升級,Улучшения,Verbesserung,Ulepszenia,Uppgraderingar,Подобрения,Pagpapaganda,,Melhorias,Ameliorations,Mejoras,Mejoras,Oppgraderinger,,Opgraderinger,Mejoras,Yükseltmeler,,Päivitykset,Nâng cấp,
Settings,Settings,Nastavení,設定,Настройки,Einstellungen,Ustawienia,Inställningar,Настройки,Mga Ayos,Setări,Definições,Paramètres ,Ajustes,Ajustes,Innstillinger,,Indstillinger,Ajustes,Ayarlar,,Asetukset,Cài đặt,
Tank Capacity,Tank Capacity,Kapacita akvária,水槽容量,Объем аквариума,Becken Kapazität,Pojemność akwarium,Akvariets kapacitet,Капацитет на аквариума,Kapasidad ng Tangke,Capacitate tanc,Capacidade do aquário,Capacité du Réservoir,Capacidad del acuario,Capacidad del acuario,Tankkapasitet,,Kapacitet af vandbeholder,Capacidad del acuario,Tanker Kapasitesi,,Akvaarion kapasiteetti,Sức chứa bể,
Slow Release Pellets,Slow Release Pellets,Granule s Pomalým Uvolňováním,慢慢的投放飼料,Выпуск гранул,Langsam zerstetzendes Fischfutter,Granulki o powolnym uwalnianiu,Långsamtsjunkande foder,Гранули с бавно освобождаване,Granilyo na maglabas ng mabagal,,Pelotas de Libertação Lenta,"granulé a 
libération lente",Pienso de liberación lenta,Granulado de liberación lenta,Pellets med langsom utgivelse,,,Granulado de liberación lenta,,,Hitaasti vapautuvat pelletit,Viên thức ăn tan chậm,
Vitamins,Vitamins,Doplňky Stravy,維他命,Витамины,Vitamine,Witaminy,Vitaminer,Витамини,Bitamina,Vitamine,Vitaminas,Vitamines,Vitaminas,Vitaminas,Vitaminer,,Vitaminer,Vitaminas,Vitaminler,,Vitamiinit,Vitamin,
